playlist_id,playlist_name,playlist_uri,track_id,track_name,track_popularity,track_uri,added_on,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_artist,artist_id,featured_artists,time_added,date_added,hour_added,day_added,artist_genres,artist_popularity,artist_followers
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,17vQTNbvhpvi92qOnDOFHB,The Law (feat. Mac Miller & Rapsody),64,spotify:track:17vQTNbvhpvi92qOnDOFHB,2018-01-04T19:18:55Z,0.7440000000000001,0.637,1.0,-7.2970000000000015,0.0,0.301,0.249,0.0,0.0965,0.6970000000000001,139.882,audio_features,17vQTNbvhpvi92qOnDOFHB,spotify:track:17vQTNbvhpvi92qOnDOFHB,https://api.spotify.com/v1/tracks/17vQTNbvhpvi92qOnDOFHB,https://api.spotify.com/v1/audio-analysis/17vQTNbvhpvi92qOnDOFHB,329208.0,4.0,Ab-Soul,0g9vAlRPK9Gt3FKCekk4TW,"Mac Miller, Rapsody",19:18:55,2018-01-04,19,4,"alternative hip hop, conscious hip hop, hip hop, pop rap, rap, southern hip hop, underground hip hop",63.0,515234.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,29vPsCpO1i4DN2V5F9MSWi,Langsette,45,spotify:track:29vPsCpO1i4DN2V5F9MSWi,2018-01-05T15:26:52Z,0.787,0.552,3.0,-5.444,1.0,0.0334,0.48200000000000004,0.525,0.121,0.317,114.021,audio_features,29vPsCpO1i4DN2V5F9MSWi,spotify:track:29vPsCpO1i4DN2V5F9MSWi,https://api.spotify.com/v1/tracks/29vPsCpO1i4DN2V5F9MSWi,https://api.spotify.com/v1/audio-analysis/29vPsCpO1i4DN2V5F9MSWi,206842.0,4.0,letherette,1fQDzf4lnUF4DYngrLJH0m,,15:26:52,2018-01-05,15,5,"bass music, float house, future garage, indie jazz, vapor twitch, wonky",44.0,25438.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,5hIg7J1i50XLG7bPKQM6O5,Rollinem 7's,45,spotify:track:5hIg7J1i50XLG7bPKQM6O5,2018-01-05T00:36:45Z,0.488,0.684,0.0,-5.63,1.0,0.35700000000000004,0.0962,1.83e-05,0.107,0.284,200.03799999999998,audio_features,5hIg7J1i50XLG7bPKQM6O5,spotify:track:5hIg7J1i50XLG7bPKQM6O5,https://api.spotify.com/v1/tracks/5hIg7J1i50XLG7bPKQM6O5,https://api.spotify.com/v1/audio-analysis/5hIg7J1i50XLG7bPKQM6O5,309453.0,4.0,N.E.R.D,5wPoxI5si3eJsYYwyXV4Wi,"André 3000, Pharrell Williams",00:36:45,2018-01-05,0,5,"hip hop, pop, pop rap, rap",64.0,433102.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,6NvSxE4pfP7TcD1OhGgaZW,Dat Side,49,spotify:track:6NvSxE4pfP7TcD1OhGgaZW,2018-01-05T07:06:46Z,0.87,0.578,1.0,-8.526,1.0,0.125,0.0123,0.0,0.0529,0.506,148.007,audio_features,6NvSxE4pfP7TcD1OhGgaZW,spotify:track:6NvSxE4pfP7TcD1OhGgaZW,https://api.spotify.com/v1/tracks/6NvSxE4pfP7TcD1OhGgaZW,https://api.spotify.com/v1/audio-analysis/6NvSxE4pfP7TcD1OhGgaZW,260453.0,4.0,CyHi The Prynce,18HVMQsV3tINaTyzT5UIjH,Kanye West,07:06:46,2018-01-05,7,5,"alternative hip hop, atl hip hop, hip hop, indie r&b, pop rap, rap, southern hip hop, trap music, underground hip hop",57.0,98051.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,0uCIPyaPjArUBR1dyGiRfs,2000 Seasons,50,spotify:track:0uCIPyaPjArUBR1dyGiRfs,2018-01-05T10:31:16Z,0.767,0.732,10.0,-4.297,0.0,0.355,0.149,0.0,0.9229999999999999,0.843,93.10799999999999,audio_features,0uCIPyaPjArUBR1dyGiRfs,spotify:track:0uCIPyaPjArUBR1dyGiRfs,https://api.spotify.com/v1/tracks/0uCIPyaPjArUBR1dyGiRfs,https://api.spotify.com/v1/audio-analysis/0uCIPyaPjArUBR1dyGiRfs,253068.0,4.0,Talib Kweli,0lEssBAxQl2In4RpaB1C2Y,,10:31:16,2018-01-05,10,5,"alternative hip hop, conscious hip hop, east coast hip hop, hardcore hip hop, hip hop, pop rap, southern hip hop",59.0,300000.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,6jjQHv8A394Dz1HjYrr2jv,Luh You,50,spotify:track:6jjQHv8A394Dz1HjYrr2jv,2018-01-05T10:44:43Z,0.6970000000000001,0.7190000000000001,7.0,-5.805,1.0,0.353,0.0954,1.93e-06,0.0819,0.662,117.051,audio_features,6jjQHv8A394Dz1HjYrr2jv,spotify:track:6jjQHv8A394Dz1HjYrr2jv,https://api.spotify.com/v1/tracks/6jjQHv8A394Dz1HjYrr2jv,https://api.spotify.com/v1/audio-analysis/6jjQHv8A394Dz1HjYrr2jv,210720.0,4.0,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,,10:44:43,2018-01-05,10,5,"escape room, hip hop, rap",76.0,901426.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,3HEn14GqygLCNfroOnYiZb,Free Room (feat. Appleby),60,spotify:track:3HEn14GqygLCNfroOnYiZb,2018-01-05T11:03:56Z,0.778,0.465,4.0,-7.662000000000001,1.0,0.318,0.7290000000000001,0.000557,0.107,0.386,120.17200000000001,audio_features,3HEn14GqygLCNfroOnYiZb,spotify:track:3HEn14GqygLCNfroOnYiZb,https://api.spotify.com/v1/tracks/3HEn14GqygLCNfroOnYiZb,https://api.spotify.com/v1/audio-analysis/3HEn14GqygLCNfroOnYiZb,217013.0,4.0,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,Appleby,11:03:56,2018-01-05,11,5,"alternative r&b, escape room, indie r&b, neo soul, r&b",62.0,145255.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,1nR4kethd99LmFn0x6xvzi,The Gateway,38,spotify:track:1nR4kethd99LmFn0x6xvzi,2018-01-05T11:13:50Z,0.6920000000000001,0.8059999999999999,10.0,-4.834,1.0,0.0464,0.419,0.00297,0.0807,0.19,136.964,audio_features,1nR4kethd99LmFn0x6xvzi,spotify:track:1nR4kethd99LmFn0x6xvzi,https://api.spotify.com/v1/tracks/1nR4kethd99LmFn0x6xvzi,https://api.spotify.com/v1/audio-analysis/1nR4kethd99LmFn0x6xvzi,192705.0,4.0,Sam Gellaitry,07UJz804RJxqNvxFXC3h9H,,11:13:50,2018-01-05,11,5,"electronic trap, vapor twitch",44.0,50279.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,1HxJlVJxwjbMvuGY67y5iY,Forgot I Was Here,0,spotify:track:1HxJlVJxwjbMvuGY67y5iY,2018-01-05T11:57:23Z,0.764,0.764,0.0,-7.931,1.0,0.0563,0.27,0.868,0.0959,0.0884,135.997,audio_features,1HxJlVJxwjbMvuGY67y5iY,spotify:track:1HxJlVJxwjbMvuGY67y5iY,https://api.spotify.com/v1/tracks/1HxJlVJxwjbMvuGY67y5iY,https://api.spotify.com/v1/audio-analysis/1HxJlVJxwjbMvuGY67y5iY,310310.0,4.0,Shlohmo,6y80I9YZi4DOpbaSUlL725,,11:57:23,2018-01-05,11,5,"bass music, chillwave, downtempo, glitch, indietronica, vapor twitch, wonky",59.0,163727.0
0CMBUh8bgzQsedK6whSnmx,Capcom,spotify:user:125065858:playlist:0CMBUh8bgzQsedK6whSnmx,1DoS5ql0TW3ejjJGHbsAmz,Tadow,44,spotify:track:1DoS5ql0TW3ejjJGHbsAmz,2018-01-05T14:20:33Z,0.7190000000000001,0.48700000000000004,9.0,-6.21,0.0,0.0604,0.711,8.36e-05,0.0958,0.345,121.729,audio_features,1DoS5ql0TW3ejjJGHbsAmz,spotify:track:1DoS5ql0TW3ejjJGHbsAmz,https://api.spotify.com/v1/tracks/1DoS5ql0TW3ejjJGHbsAmz,https://api.spotify.com/v1/audio-analysis/1DoS5ql0TW3ejjJGHbsAmz,301639.0,4.0,Masego,3ycxRkcZ67ALN3GQJ57Vig,FKJ,14:20:33,2018-01-05,14,5,"alternative r&b, indie r&b",69.0,290070.0
